iteration f_val best_f_so_far metric diversity diversityMin
2 5.192134 5.192134 36.888889 3.809524 1.767566
2 9.058501 9.058501 36.888889 2.978047 2.110685
2 5.396776 5.396776 36.777779 1.945027 2.236125
2 8.651253 8.651253 36.888889 2.352679 2.220961
2 6.455364 6.455364 36.777779 2.836069 2.004050
3 -1.575670 -1.575670 37.555557 6.890592 1.187699
3 6.628355 6.628355 37.000000 4.995471 1.873241
3 8.036382 8.036382 36.888889 3.700767 2.017376
3 7.617910 7.617910 37.000000 3.717196 1.984377
3 3.385983 3.385983 36.777779 4.124799 1.864647
4 -13.314919 -13.314919 38.111111 11.082615 0.069480
4 1.748188 1.748188 36.888889 8.209415 1.249434
4 3.421629 3.421629 37.444443 6.684018 1.455072
4 2.762946 2.762946 37.000000 5.904912 1.651892
4 2.029463 2.029463 36.666668 6.565959 1.464836
5 -33.943451 -33.943451 37.444443 13.717706 0.000000
5 -10.648969 -10.648969 37.222221 10.837067 0.990804
5 -8.409844 -8.409844 37.888889 8.593461 1.101057
5 -4.020703 -4.020703 37.111111 7.540887 1.359751
5 -5.991161 -5.991161 36.666668 10.022967 0.788977
6 -36.024384 -36.024384 38.444443 20.906733 0.000000
6 -15.625632 -15.625632 37.444443 13.571922 0.371312
6 -15.953684 -15.953684 39.111111 12.562790 0.000000
6 -9.878027 -9.878027 37.333332 10.073082 0.541761
6 -19.209579 -19.209579 37.111111 14.843234 0.000000
7 -35.709015 -35.709015 37.888889 30.239773 0.000000
7 -28.709488 -28.709488 37.333332 19.131155 0.000000
7 -39.236740 -39.236740 40.333332 20.233761 0.000000
7 -26.484648 -26.484648 37.666668 14.589085 0.147590
7 -34.926212 -34.926212 36.111111 23.537653 0.000000
8 -38.083752 -38.083752 38.888889 30.023932 0.000000
8 -35.518421 -35.518421 36.000000 25.025810 0.000000
8 -40.535671 -40.535671 41.222221 24.748665 0.000000
8 -34.522438 -34.522438 38.000000 18.193705 0.000000
8 -35.195866 -35.195866 36.555557 25.891369 0.000000
9 -34.685822 -34.685822 39.333332 33.911423 0.000000
9 -35.694702 -35.694702 37.555557 31.344431 0.000000
9 -41.469707 -41.469707 41.555557 25.585962 0.000000
9 -38.175510 -38.175510 38.888889 18.284555 0.000000
9 -36.760799 -36.760799 37.333332 26.268087 0.000000
10 -37.872246 -37.872246 38.666668 32.843201 0.000000
10 -37.772167 -37.772167 36.777779 33.357883 0.000000
10 -41.804279 -41.804279 42.000000 26.043638 0.000000
10 -39.059258 -39.059258 40.777779 19.980350 0.000000
10 -36.356304 -36.356304 36.222221 30.505993 0.000000
